DateTime,Meter 01,Meter 02,Meter 03,Meter 04,Meter 05,Meter 06,Meter 07,Meter 08,Meter 09,Meter 010
00:00.0,0.112,0.583,0.129,0.058,0.034,0.223,0.167,0.448,0.057,0.268
30:00.0,0.087,0.787,0.068,0.086,0,0.189,0.091,0.408,0.058,0.312
00:00.0,0.106,0.343,0.058,0.085,0,0.188,0.063,0.457,0.222,0.475
30:00.0,0.14,0.17,0.236,0.382,0.003,0.686,0.206,0.502,0.131,0.444
00:00.0,0.12,0.143,0.271,0.175,0.055,0.411,0.158,0.272,0.155,0.143
30:00.0,1.075,0.062,0.792,0.32,0.05,0.118,0.118,0.278,0.059,0.138
00:00.0,0.146,0.24,0.172,0.479,0.028,0.084,0.184,0.27,0.058,0.184
30:00.0,0.123,0.224,0.099,0.524,0,0.187,0.131,0.385,0.136,0.397
00:00.0,0.082,0.235,0.082,0.695,0,0.129,0.109,0.492,0.096,0.392
30:00.0,0.127,0.203,0.071,0.478,0.01,0.275,0.078,1.0470001,0.14,0.307
00:00.0,0.077,0.153,0.097,0.747,0.054,0.137,0.076,0.358,0.125,0.28
30:00.0,0.551,0.171,0.124,1.1390001,0.048,0.128,0.12,0.407,0.16,0.259
00:00.0,0.149,0.208,0.037,0.228,0.016,0.148,0.091,0.511,0.206,0.266
30:00.0,0.129,0.109,0.031,0.206,0,0.134,0.103,0.421,0.911,0.163
00:00.0,0.075,0.154,0.09,0.19,0,0.154,0.273,0.445,0.361,0.193
30:00.0,0.13,0.191,0.115,0.124,0.027,0.244,0.153,0.41,0.106,0.786
00:00.0,0.075,0.177,0.135,0.233,0.053,0.127,0.11,0.392,0.156,0.815
30:00.0,0.129,0.199,0.179,0.14,0.049,0.105,0.165,0.37,0.13,1.027
00:00.0,0.075,0.708,0.307,0.11,0.018,0.245,0.215,0.464,0.106,1.273
30:00.0,0.128,0.119,0.171,0.194,0,0.109,0.189,0.803,0.12,3.497
00:00.0,0.166,0.188,0.178,0.183,0,0.123,0.348,0.742,0.169,2.4920001
30:00.0,0.194,0.173,0.132,0.297,0.02,0.106,0.177,1.026,0.183,3.227
00:00.0,0.695,0.162,0.148,0.175,0.053,0.151,0.172,0.404,0.278,1.364
30:00.0,0.26,0.162,0.738,0.267,0.048,1.001,0.161,0.443,0.335,1.497
00:00.0,0.227,0.118,0.429,0.22,0.013,0.313,0.6,0.515,0.482,1.16
30:00.0,0.255,0.093,0.203,0.143,0,0.272,0.803,0.538,0.346,1.8049999
00:00.0,1.164,0.114,0.211,0.126,0,0.265,0.796,0.431,0.306,1.051
30:00.0,0.249,0.196,0.315,0.12,0.032,0.274,0.382,0.368,0.35,1.2539999
00:00.0,0.225,0.167,0.505,0.209,0.053,0.309,0.393,0.364,0.372,1.459
30:00.0,0.258,0.176,0.267,0.18,0.049,0.308,0.237,0.339,0.335,1.334
00:00.0,0.26,0.205,0.23,0.215,0.003,0.247,0.243,0.354,0.307,2.4749999
30:00.0,0.334,0.141,0.34,0.317,0,0.232,0.252,0.437,0.281,1.27
00:00.0,0.299,0.142,0.183,0.145,0,0.208,0.255,0.277,0.199,0.311
30:00.0,0.236,0.159,0.087,0.181,0.043,0.121,0.233,0.218,0.21,0.272
00:00.0,0.241,0.097,0.082,0.067,0.052,0.057,0.145,0.218,0.259,0.285
30:00.0,0.237,0.128,0.046,0.087,0.045,0.072,0.112,0.245,0.112,0.304
00:00.0,0.237,0.158,0.033,0.048,0,0.075,0.054,0.284,0.093,0.192
30:00.0,0.237,1.452,0.084,0.056,0,0.05,0.076,0.277,0.075,0.191
00:00.0,0.193,1.498,0.079,0.088,0,0.079,0.091,0.222,0.059,0.193
30:00.0,0.118,0.49,0.092,0.06,0.048,0.059,0.054,0.208,0.06,0.218
00:00.0,0.098,0.153,0.12,0.114,0.052,0.062,0.065,0.219,0.06,0.203
30:00.0,0.107,0.412,0.093,0.116,0.049,0.076,0.099,0.271,0.058,0.161
00:00.0,0.094,0.108,0.067,0.112,0.004,0.054,0.056,0.277,0.058,0.164
30:00.0,0.109,0.437,0.09,0.067,0,0.07,0.054,0.24,0.059,0.186
00:00.0,0.091,0.15,0.045,0.064,0,0.071,0.097,0.207,0.058,0.242
30:00.0,0.105,0.117,0.033,0.087,0.031,0.087,0.091,0.217,0.058,0.201
00:00.0,0.091,0.343,0.086,0.081,0.052,0.051,0.16,0.239,0.058,0.163
30:00.0,0.104,0.114,0.052,0.047,0.047,0.18,0.378,0.401,0.058,0.256
00:00.0,0.092,0.361,0.073,0.108,0,0.166,0.216,0.384,0.059,0.268
30:00.0,0.103,0.157,0.092,0.051,0,0.195,0.122,0.38,0.068,1.574
00:00.0,0.093,0.78,0.077,0.058,0,0.188,0.115,0.502,0.146,1.5190001
30:00.0,0.101,0.246,0.311,0.181,0.043,0.312,0.229,0.347,0.165,0.272
00:00.0,0.144,0.247,0.197,0.606,0.052,0.142,0.116,0.349,0.084,0.209
30:00.0,0.1,0.251,1.043,0.076,0.049,0.13,0.09,0.277,0.076,0.608
00:00.0,0.408,0.197,0.113,0.142,0.007,0.201,0.12,0.256,0.025,0.16
30:00.0,0.102,0.23,0.101,0.069,0,0.135,0.108,0.214,0.041,0.136
00:00.0,0.1,0.285,0.483,0.104,0,0.124,0.115,0.23,0.067,0.145
30:00.0,0.116,0.237,0.414,0.396,0.028,0.129,0.124,0.241,0.42,0.194
00:00.0,0.354,0.262,0.096,0.275,0.052,0.134,0.124,0.292,0.117,0.323
30:00.0,0.146,0.481,0.262,0.764,0.048,0.121,0.099,0.276,0.106,0.417
00:00.0,0.19,0.19,0.175,0.384,0.011,0.212,0.111,0.221,0.058,0.181
30:00.0,0.991,0.187,0.18,0.124,0,0.149,0.288,0.225,0.163,0.197
00:00.0,0.31,0.156,0.155,0.15,0,0.132,0.124,0.212,0.139,0.233
30:00.0,0.121,0.128,0.063,0.128,0.03,0.118,0.088,0.282,0.058,0.162
00:00.0,0.113,0.132,0.084,0.104,0.053,0.268,0.119,0.272,0.065,0.185
30:00.0,0.094,0.146,0.063,0.261,0.049,0.097,0.107,0.267,0.132,0.279
00:00.0,0.119,0.191,0.065,0.146,0.001,0.125,0.193,0.374,0.385,0.346
30:00.0,0.087,0.145,0.085,0.226,0,0.108,0.27,0.263,0.941,2.352
00:00.0,0.13,0.123,0.102,0.207,0,0.269,0.155,0.304,0.858,0.337
30:00.0,0.238,0.119,0.837,0.266,0.046,0.663,0.106,0.388,0.201,0.383
